"rank"	"DPName"	"dpID"	"dpIDSource"	"DPNumber"	"table"	"tableDescription"	"fieldName"	"description"	"dataType"	"units"	"measurementScale"	"ontologyMapping"	"pubFormat"	"exampleEntry"	"usage"	"fieldType"	"tableType"	"inputs"	"ingestDPIDSource"	"ingestTableSource"	"ingestFieldSource"	"inputFieldParameter"	"filterSampleClass"	"timeIndex"	"timeDescription"	"downloadPkg"	"dataCategory"	"sampleInfo"	"lovName"	"primaryKey"	"redactionFlag"
41	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elements_pub"	"External lab analysis of major, minor, and trace element concentrations in foliage"	"foliarSulfurQF"	"Quality flag for foliar S data"	"string"	NA	"nominal"	""	"LOV"	"ok"	"both"	"DP"	"site-date"	"foliarSulfurQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elements_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"cfc.elementsQF"	"N"	""
42	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elements_pub"	"External lab analysis of major, minor, and trace element concentrations in foliage"	"foliarManganeseQF"	"Quality flag for foliar Mn data"	"string"	NA	"nominal"	""	"LOV"	"ok"	"both"	"DP"	"site-date"	"foliarManganeseQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elements_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"cfc.elementsQF"	"N"	""
43	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elements_pub"	"External lab analysis of major, minor, and trace element concentrations in foliage"	"foliarIronQF"	"Quality flag for foliar Fe data"	"string"	NA	"nominal"	""	"LOV"	"sample value outlier"	"both"	"DP"	"site-date"	"foliarIronQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elements_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"cfc.elementsQF"	"N"	""
44	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elements_pub"	"External lab analysis of major, minor, and trace element concentrations in foliage"	"foliarCopperQF"	"Quality flag for foliar Cu data"	"string"	NA	"nominal"	""	"LOV"	"ok"	"both"	"DP"	"site-date"	"foliarCopperQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elements_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"cfc.elementsQF"	"N"	""
45	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elements_pub"	"External lab analysis of major, minor, and trace element concentrations in foliage"	"foliarBoronQF"	"Quality flag for foliar B data"	"string"	NA	"nominal"	""	"LOV"	"ok"	"both"	"DP"	"site-date"	"foliarBoronQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elements_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"cfc.elementsQF"	"N"	""
46	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elements_pub"	"External lab analysis of major, minor, and trace element concentrations in foliage"	"foliarZincQF"	"Quality flag for foliar Zn data"	"string"	NA	"nominal"	""	"LOV"	"ok"	"both"	"DP"	"site-date"	"foliarZincQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elements_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"cfc.elementsQF"	"N"	""
47	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elements_pub"	"External lab analysis of major, minor, and trace element concentrations in foliage"	"remarks"	"Technician notes; free text comments accompanying the record"	"string"	NA	"textDomain"	""	"asIs"	"had to re-analyze"	"both"	"DP"	"site-date"	"remarks"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elements_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
48	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elements_pub"	"External lab analysis of major, minor, and trace element concentrations in foliage"	"laboratoryName"	"Name of the laboratory or facility that is processing the sample"	"string"	NA	"nominal"	""	"asIs"	"Soil and Forage Analysis Lab"	"both"	"locationNameDP"	"site-date"	"laboratoryName"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elements_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
49	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elements_pub"	"External lab analysis of major, minor, and trace element concentrations in foliage"	"testMethod"	"Method used to conduct test"	"string"	NA	"textDomain"	""	"asIs"	"SOP_BGTML025"	"both"	"DP"	"site-date"	"testMethod"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elements_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
50	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elements_pub"	"External lab analysis of major, minor, and trace element concentrations in foliage"	"analyzedBy"	"Name of lab personnel analyzing sample"	"string"	NA	"textDomain"	""	"obfuscate"	"Lab technician name"	"both"	"DP"	"site-date"	"analyzedBy"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elements_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
51	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elements_pub"	"External lab analysis of major, minor, and trace element concentrations in foliage"	"reviewedBy"	"Name of lab personnel who reviewed the data prior to submission"	"string"	NA	"textDomain"	""	"obfuscate"	"Lab manager name"	"both"	"DP"	"site-date"	"reviewedBy"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elements_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
52	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elements_pub"	"External lab analysis of major, minor, and trace element concentrations in foliage"	"dataQF"	"Data quality flag"	"string"	NA	"nominal"	""	"asIs"	"legacyData"	"both"	"DP"	"site-date"	"dataQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elements_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
1	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	NA	"textDomain"	""	"asIs"	"B0F07806AEB227"	"both"	"uid"	"lab-current"	""	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"GENERATED"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
2	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"startDate"	"The start date-time or interval during which an event occurred"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20170101"	"both"	"resultStartDate"	"lab-current"	"activityStartDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
3	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"endDate"	"The end date-time or interval during which an event occurred"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20170101"	"both"	"resultEndDate"	"lab-current"	"activityEndDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
4	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"analyte"	"Analyte or parameter measured"	"string"	NA	"nominal"	""	"LOV"	"phosphorus"	"both"	"DP"	"lab-current"	"analyte"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	"cfc.eleAnalyte"	"Y"	""
5	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"analyteUnits"	"Associated units of measure for analyte"	"string"	NA	"nominal"	""	"LOV"	"percent"	"both"	"DP"	"lab-current"	"analyteUnits"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	"cfc.eleAnalyteUnits"	"N"	""
6	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"sampleType"	"Type of sample"	"string"	NA	"textDomain"	""	"asIs"	"peach leaves"	"both"	"DP"	"lab-current"	"sampleType"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
7	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"qaReferenceID"	"Identifier for quality assurance reference material or standard"	"string"	NA	"textDomain"	""	"asIs"	"Peach_7701.12"	"both"	"DP"	"lab-current"	"qaReferenceID"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
8	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"analyteKnownValue"	"The known value of a given analyte for a quality assurance reference material or standard, with units tied to the analyte"	"real"	NA	"ratio"	""	"signif_###(round)"	"0.356"	"both"	"DP"	"lab-current"	"analyteKnownValue"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
9	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"analyteObservedValue"	"The measured value of a given analyte for a standard reference material, with units tied to the analyte"	"real"	NA	"ratio"	""	"signif_###(round)"	"0.351"	"both"	"DP"	"lab-current"	"analyteObservedValue"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
10	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"analyteStandardDeviation"	"Long-term average standard deviation values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns"	"real"	NA	"ratio"	""	"*.###(round)"	"0.05"	"both"	"DP"	"lab-current"	"analyteStandardDeviation"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
11	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"analytePercentRecovery"	"Percent recovery of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns"	"real"	"percent"	"ratio"	""	"*.#(round)"	"96.5"	"both"	"DP"	"lab-current"	"analytePercentRecovery"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
12	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"analyteMetricsCount"	"Count of how many measurements were used to determine analyte metrics"	"unsigned integer"	"number"	"ratio"	""	"integer"	"106"	"both"	"DP"	"lab-current"	"analyteMetricsCount"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
13	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"qaReportingStartDate"	"Start date for the quality assurance (QA) reporting period"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20150101"	"both"	"DP"	"lab-current"	"qaReportingStartDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
14	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"qaReportingEndDate"	"End date for the quality assurance (QA) reporting period"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20170101"	"both"	"DP"	"lab-current"	"qaReportingEndDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
15	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"laboratoryName"	"Name of the laboratory or facility that is processing the sample"	"string"	NA	"nominal"	""	"asIs"	"Soil and Forage Analysis Lab"	"both"	"DP"	"lab-current"	"namedLocationName"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"ACTIVITY_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
16	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"labSpecificStartDate"	"Date a specific analyte, instrument, and associated method detection limit combination started"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20150101"	"both"	"DP"	"lab-current"	"labSpecificStartDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
17	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"labSpecificEndDate"	"Date a specific analyte, instrument, and associated method detection limit combination ended"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20170101"	"both"	"DP"	"lab-current"	"labSpecificEndDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
18	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"instrument"	"Type of instrument used for the analysis"	"string"	NA	"textDomain"	""	"asIs"	"ICP-MS"	"both"	"DP"	"lab-current"	"instrument"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
19	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"testMethod"	"Method used to conduct test"	"string"	NA	"textDomain"	""	"asIs"	"SOP_BGTML025"	"both"	"DP"	"lab-current"	"testMethod"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
20	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"method"	"Published method used for analysis"	"string"	NA	"textDomain"	""	"asIs"	"Isaac, R.A. and W.C. Johnson, 1985, Elemental Analysis of Plant Tissue by Plasma Emission Spectroscopy: Collaborative Study. JAOAC. 68(3), pp 499-505"	"both"	"DP"	"lab-current"	"method"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
21	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_elementsSummary_pub"	"Long-term uncertainty values for major, minor, and trace element analyses"	"dataQF"	"Data quality flag"	"string"	NA	"nominal"	""	"asIs"	""	"both"	"DP"	"lab-current"	"dataQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_elementsSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
1	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	NA	"textDomain"	""	"asIs"	"B0F07806AEB2458"	"both"	"uid"	"site-date"	""	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"GENERATED"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
2	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"namedLocation"	"Name of the measurement location in the NEON database"	"string"	NA	"nominal"	""	"asIs"	"GRSM_001.basePlot.cfc"	"both"	"DP"	"site-date"	"namedLocationName"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"ACTIVITY_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
3	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"domainID"	"Unique identifier of the NEON domain"	"string"	NA	"nominal"	""	"asIs"	"D07"	"both"	"DP"	"site-date"	"DOMAIN"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
4	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"siteID"	"NEON site code"	"string"	NA	"nominal"	""	"asIs"	"GRSM"	"both"	"DP"	"site-date"	"SITE"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
5	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"plotID"	"Plot identifier (NEON site code_XXX)"	"string"	NA	"nominal"	""	"asIs"	"GRSM_001"	"both"	"DP"	"site-date"	"Plot ID"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"Y"	""
6	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"plotType"	"NEON plot type in which sampling occurred: tower, distributed or gradient"	"string"	NA	"nominal"	""	"asIs"	"distributed"	"both"	"DP"	"site-date"	"Plot type"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
7	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"nlcdClass"	"National Land Cover Database Vegetation Type Name"	"string"	NA	"nominal"	""	"asIs"	"evergreenForest"	"both"	"DP"	"site-date"	"National Land Cover Database (2001)"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
8	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"geodeticDatum"	"Model used to measure horizontal position on the earth"	"string"	NA	"nominal"	""	"asIs"	"WGS84"	"both"	"DP"	"site-date"	"Geodetic Datum"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
9	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"decimalLatitude"	"The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area"	"real"	"decimalDegree"	"ratio"	""	"*.######(round)"	"-105.556871"	"both"	"DP"	"site-date"	"latitude"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
10	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"decimalLongitude"	"The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area"	"real"	"decimalDegree"	"ratio"	""	"*.######(round)"	"39.603572"	"both"	"DP"	"site-date"	"longitude"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
11	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"coordinateUncertainty"	"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term"	"real"	"meter"	"ratio"	""	"*.#(round)"	"20.2"	"both"	"DP"	"site-date"	"Coordinate uncertainty"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
12	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"elevation"	"Elevation (in meters) above sea level"	"real"	"meter"	"ratio"	""	"*.#(round)"	"1610.8"	"both"	"DP"	"site-date"	"elevation"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
13	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"elevationUncertainty"	"Uncertainty in elevation values (in meters)"	"real"	"meter"	"ratio"	""	"*.##(round)"	"5.22"	"both"	"DP"	"site-date"	"Elevation uncertainty"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
14	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"samplingProtocolVersion"	"The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX"	"string"	NA	"nominal"	""	"LOV"	"NEON.DOC.001024vD"	"both"	"DP"	"site-date"	"samplingProtocolVersion"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"cfc.samplingProtocolVersion"	"N"	""
15	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"setDate"	"Date that trap was set"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-05T12:24"	"both"	"resultStartDate"	"site-date"	"activityStartDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
16	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"collectDate"	"Date of the collection event"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-05T12:24"	"both"	"resultEndDate"	"site-date"	"activityEndDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"ACTIVITY_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"Y"	""
17	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_fieldData_pub"	"Field collection of foliar samples"	"samplingImpractical"	"Samples and/or measurements were not collected due to the indicated circumstance"	"string"	NA	"nominal"	""	"LOV"	"OK"	"both"	"DP"	"site-date"	"samplingImpractical"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_fieldData_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"samplingImpractical"	"N"	""
